gene_pman	gene_mus
Maml2	Maml2
Maml3	Maml3
Mamld1	Mamld1
Map3k2	Map3k2
March6	March6
March9	March9
Mark2	Mark2
Mars	Mars
Marveld3	Marveld3
Mast4	Mast4
Matn2	Matn2
Mbd3l1	Mbd3l1
Mbd6	Mbd6
Mbnl1	Mbnl1
Mbnl3	Mbnl3
Mboat2	Mboat2
Mc3r	Mc3r
Mcam	Mcam
Mccc1	Mccc1
Mctp1	Mctp1
Mdfi	Mdfi
Mdga2	Mdga2
Mdh1b	Mdh1b
Mdm1	Mdm1
Mdm2	Mdm2
Mea1	Mea1
Mecom	Mecom
Mecp2	Mecp2
Med12l	Med12l
Med20	Gm20517
Mef2c	Mef2c
Megf8	Megf8
Mettl25	Mettl25
Mettl7b	Mettl7b
Mfn1	Mfn1
Mfrp	Mfrp
Mfsd8	Mfsd8
Mgarp	Mgarp
Mgst2	Mgst2
Mib1	Mib1
Mid1ip1	Mid1ip1
Midn	Midn
Mip	Mip
Mkrn3	Mkrn3
Mme	Mme
Mmp10	Mmp10
Mmp12	Mmp12
Mmp19	Mmp19
Mmp27	Mmp27
Mmp3	Mmp3
Mmp8	Mmp8
Mms22l	Mms22l
Mocs1	Mocs1
Mon2	Mon2
Morc3	Morc3
Mospd1	Mospd1
Mpp1	Mpp1
Mrpl13	Mrpl13
Mrpl2	Mrpl2
Mrpl20	Mrpl20
Mrpl22	Mrpl22
Mrpl4	Mrpl4
Mrpl47	Mrpl47
Msh6	Msh6
Msrb3	Msrb3
Mss51	Mss51
Mtbp	Mtbp
Mtcp1	Mtcp1
Mtdh	Mtdh
Mtif2	Mtif2
Mtm1	Mtm1
Mtmr1	Mtmr1
Mtmr2	Mtmr2
Mto1	Mto1
Mtss1	Mtss1
Myc	Myc
Mycbp2	Mycbp2
Mycn	Mycn
Myh11	Myh11
Myl6	Myl6
Myl6b	Myl6b
Mynn	Mynn
Myo1a	Myo1a
Myo1f	Myo1f
Myo7b	Myo7b
Myoz1	Myoz1
N4bp2l2	N4bp2l2
Naa10	Naa10
Naa15	Naa15
Naaladl2	Naaladl2
Nab2	Nab2
Nabp2	Nabp2
Naca	Naca
Nadk2	Nadk2
Nae1	Nae1
Nap1l3	Nap1l3
Nbas	Nbas
Nbea	Nbea
Nbeal1	Nbeal1
Ncald	Ncald
Ncam1	Ncam1
Ncapd3	Ncapd3
Nceh1	Nceh1
Ncor1	Ncor1
Nde1	Nde1
Ndn	Ndn
Ndst4	Ndst4
Ndufa4l2	Ndufa4l2
Ndufa5	Ndufa5
Ndufa7	Ndufa7
Ndufb11	Ndufb11
Ndufb5	Ndufb5
Ndufc1	Ndufc1
Nectin1	Nectin1
Nek4	Nek4
Nelfcd	Nelfcd
Nemf	Nemf
Nemp1	Nemp1
Nfatc2	Nfatc2
Nfic	Nfic
Nfrkb	Nfrkb
Nfu1	Nfu1
Nfya	Nfya
Ngef	Ngef
Nhlrc3	Nhlrc3
Nhsl2	Nhsl2
Nid2	Nid2
Nin	Nin
Nipal2	Nipal2
Nlgn1	Nlgn1
Nln	Nln
Nlrx1	Nlrx1
Nme5	Nme5
Nnat	Nnat
Nnmt	Nnmt
Noct	Noct
Nod1	Nod1
Nol3	Nol3
Nol4	Nol4
Nov	Nov
Nox4	Nox4
Npbwr1	Npbwr1
Npc1	Npc1
Npepl1	Npepl1
Npsr1	Npsr1
Nptx1	Nptx1
Nr3c1	Nr3c1
Nrep	Nrep
Nrk	Nrk
Nsdhl	Nsdhl
Nsmaf	Nsmaf
Nsmce2	Nsmce2
Ntm	Ntm
Nudcd1	Nudcd1
Nudt6	Nudt6
Nup107	Nup107
Nxf1	Nxf1
Nxpe2	Nxpe2
Oaf	Oaf
Oard1	Oard1
Ocln	Ocln
Ocrl	Ocrl
Odf1	Odf1
Ogt	Ogt
Olah	Olah
Olfm2	Olfm2
Olfml2a	Olfml2a
Opcml	Opcml
Opn1lw	Opn1mw
Opn5	Opn5
Oprk1	Oprk1
Orc4	Orc4
Orc5	Orc5
Ormdl2	Ormdl2
Os9	Os9
Osbp	Osbp
Osbpl1a	Osbpl1a
Osbpl2	Osbpl2
Ostc	Ostc
Otud5	Otud5
P2ry1	P2ry1
P2ry12	P2ry12
P2ry13	P2ry13
P2ry14	P2ry14
Pa2g4	Pa2g4
Pabpc4l	Pabpc4l
Paip2	Paip2
Pan2	Pan2
Pan3	Pan3
Panx3	Panx3
Papd4	Papd4
Pard3	Pard3
Pard6a	Pard6a
Pcdh10	Pcdh10
Pcdh18	Pcdh18
Pcdh19	Pcdh19
Pck1	Pck1
Pcsk1	Pcsk1
Pcsk1n	Pcsk1n
Pdcl	Pdcl
Pde4a	Pde4a
Pdgfd	Pdgfd
Pdk4	Pdk4
Pdpr	Pdpr
Pds5b	Pds5b
Pdzd3	Pdzd3
Peg10	Peg10
Peg3	Peg3
Pex1	Pex1
Pex5l	Pex5l
Pfkl	Pfkl
Pgr	Pgr
Pgrmc2	Pgrmc2
Phc3	Phc3
Phf14	Phf14
Phf20	Phf20
Phf3	Phf3
Phf6	Phf6
Phip	Phip
Phldb1	Phldb1
Phrf1	Phrf1
Pid1	Pid1
Pign	Pign
Pigp	Pigp
Pik3c3	Pik3c3
Pik3ca	Pik3ca
Pim2	Pim2
Pin1	Pin1
Pip4k2c	Pip4k2c
Pkhd1	Pkhd1
Pkhd1l1	Pkhd1l1
Pknox2	Pknox2
Pla2g15	Pla2g15
Plb1	Plb1
Plch1	Plch1
Plcl2	Plcl2
Pld1	Pld1
Plekha5	Plekha5
Plk4	Plk4
Plxna3	Plxna3
Pmel	Pmel
Polh	Polh
Polk	Polk
Polr2d	Polr2d
Polrmt	Polrmt
Pomp	Pomp
Pon1	Pon1
Pon2	Pon2
Postn	Postn
Pou2f3	Pou2f3
Ppp1r9a	Ppp1r9a
Ppp2r1b	Ppp2r1b
Ppp2r5d	Ppp2r5d
Ppp2r5e	Ppp2r5e
Ppp3cb	Ppp3cb
Ppp4r1	Ppp4r1
Ppp4r2	Ppp4r2
Prdm10	Prdm10
Prdm15	Prdm15
Prdm16	Prdm16
Prelid2	Prelid2
Prelid3b	Slmo2
Prim1	Prim1
Prkch	Prkch
Prkci	Prkci
Prkcsh	Prkcsh
Prkx	Prkx
Prob1	Prob1
Proc	Proc
Proser1	Proser1
Prpf18	Prpf18
Prpf8	Prpf8
Prph2	Prph2
Prps1	Prps1l3
Prps2	Prps2
Prr32	Prr32
Psma8	Psma8
Psme4	Psme4
Ptbp1	Ptbp1
Ptchd1	Ptchd1
Ptdss1	Ptdss1
Ptk7	Ptk7
Ptp4a1	Ptp4a1
Ptprc	Ptprc
Ptprz1	Ptprz1
Pts	Pts
Pura	Pura
Pus3	Pus3
Pym1	Pym1
Qtrt1	Qtrt1
R3hdm1	R3hdm1
R3hdm2	R3hdm2
Rab22a	Rab22a
Rab23	Rab23
Rab2a	Rab2a
Rab33b	Rab33b
Rab39b	Rab39b
Rab3d	Rab3d
Rab40b	Rab40b
Rab5b	Rab5b
Rabgap1	Rabgap1
Rad17	Rad17
Ranbp3	Ranbp3
Rap1b	Rap1b
Rap1gds1	Rap1gds1
Rap2b	Rap2b
Rassf3	Rassf3
Raver1	Raver1
Rb1cc1	Rb1cc1
Rbm10	Rbm10
Rbm7	Rbm7
Rbms2	Rbms2
Rc3h2	Rc3h2
Rcan2	Rcan2
Rdh5	Rdh5
Rdh8	Rdh8
Renbp	Renbp
Rexo2	Rexo2
Rfc3	Rfc3
Rfesd	Rfesd
Rftn1	Rftn1
Rfx3	Rfx3
Rgag4	Rgag4
Rgl3	Rgl3
Rhag	Rhag
Rhobtb3	Rhobtb3
Rhpn2	Rhpn2
Rims2	Rims2
Riok3	Riok3
Ripply2	Ripply2
Rlim	Rlim
Rltpr	Rltpr
Rnf111	Rnf111
Rnf13	Rnf13
Rnf133	Rnf133
Rnf139	Rnf139
Rnf148	Rnf148
Rnf19a	Rnf19a
Rnf213	Rnf213
Rnf41	Rnf41
Robo3	Robo3
Robo4	Robo4
Rock1	Rock1
Ropn1l	Ropn1l
Rorb	Rorb
Rp1	Rp1
Rp9	Rp9
Rpl21	Rpl21
Rpl22l1	Rpl22l1
Rpl7l1	Rpl7l1
Rpp30	Rpp30
Rprd1a	Rprd1a
Rps25	Rps25
Rps28	Rps28
Rragb	Rragb
Rrm2b	Rrm2b
Rsad2	Rsad2
Rsbn1l	Rsbn1l
Rsph9	Rsph9
Rspo2	Rspo2
Rtel1	Rtel1
Rtf1	Rtf1
Rtl1	Rtl1
Rubcn	Rubcn
S100a11	S100a11
S1pr5	S1pr5
Sag	Sag
Sage1	Ddx26b
Samd11	Samd11
Samd12	Samd12
Samd4b	Samd4b
Samd7	Samd7
Samd8	Samd8
Samd9	Samd9
Sap130	Sap130
Sarnp	Sarnp
Sash3	Sash3
Satb1	Satb1
Satl1	Satl1
Sbno2	Sbno2
Sc5d	Sc5d
Scamp1	Scamp1
Scfd1	Scfd1
Scgb2a2	Scgb2a2
Sclt1	Sclt1
Scn3b	Scn3b
Sdc2	Sdc2
Sdcbp	Sdcbp
Sdf4	Sdf4
Sdhaf4	Sdhaf4
Sdk1	Sdk1
Sdr9c7	Sdr9c7
Sec24c	Sec24c
Sec62	Sec62
Sema4f	Sema4f
Sept7	Sept7
Serp1	Serp1
Serpinb13	Serpinb13
Serpinb8	Serpinb8
Sertm1	Sertm1
Sesn3	Sesn3
Setd7	Setd7
Sgce	Sgce
Sgol1	Sgol1
Sh3bp1	Sh3bp1
Sh3glb1	Sh3glb1
Shank3	Shank3
Shcbp1	Shcbp1
Shisa9	Shisa9
Shmt2	Shmt2
Shoc2	Shoc2
Siae	Siae
Siah2	Siah2
Sik2	Sik2
Sik3	Sik3
Sil1	Sil1
Sim2	Sim2
Skil	Skil
Slc10a2	Slc10a2
Slc10a3	Slc10a3
Slc13a1	Slc13a1
Slc13a5	Slc13a5
Slc16a7	Slc16a7
Slc22a8	Slc22a8
Slc23a1	Slc23a1
Slc25a13	Slc25a13
Slc25a27	Slc25a27
Slc25a31	Slc25a31
Slc25a32	Slc25a32
Slc25a46	Slc25a46
Slc26a10	Slc26a10
Slc26a4	Slc26a4
Slc29a1	Slc29a1
Slc2a2	Slc2a2
Slc2a5	Slc2a5
Slc30a8	Slc30a8
Slc33a1	Slc33a1
Slc35a2	Slc35a2
Slc35a4	Slc35a4
Slc35e3	Slc35e3
Slc37a2	Slc37a2
Slc37a4	Slc37a4
Slc39a5	Slc39a5
Slc39a6	Slc39a6
Slc44a2	Slc44a2
Slc4a9	Slc4a9
Slc5a12	Slc5a12
Slc6a8	Slc6a8
Slc7a1	Slc7a1
Slc7a11	Slc7a11
Slc7a14	Slc7a14
Slc9a7	Slc9a7
Slc9a8	Slc9a8
Slco1a2	Slco1a4
Slco1b3	Slco1b2
Slco1c1	Slco1c1
Slco4c1	Slco4c1
Slf1	Slf1
Slitrk2	Slitrk2
Slitrk4	Slitrk4
Slmap	Slmap
Sltm	Sltm
Smad9	Smad9
Smarca1	Smarca1
Smarca4	Smarca4
Smarcc2	Smarcc2
Smc1a	Smc1a
Smpd3	Smpd3
Snap91	Snap91
Snrpa	Snrpa
Snrpn	Snrpn
Sntb1	Sntb1
Snurf	Gm38393
Snx14	Snx14
Snx19	Snx19
Snx29	Snx29
Snx31	Snx31
Sohlh2	Sohlh2
Sorcs3	Sorcs3
Sorl1	Sorl1
Sox18	Sox18
Sox2	Sox2
Spaca5	Spaca5
Spast	Spast
Spata16	Spata16
Spata19	Spata19
Spata24	Spata24
Spata5	Spata5
Spdya	Spdya
Spg20	Spg20
Spin4	Spin4
Spink14	Spink14
Spo11	Spo11
Spryd4	Spryd4
Sptlc3	Sptlc3
Srek1	Srek1
Srf	Srf
Srgap1	Srgap1
Srp19	Srp19
Srpk3	Srpk3
Srpra	Srpr
Ss18	Ss18
Ss18l1	Ss18l1
Ssr3	Ssr3
Ssr4	Ssr4
St14	St14
St3gal4	St3gal4
Stac	Stac
Stac3	Stac3
Stag2	Stag2
Stambp	Stambp
Stard13	Stard13
Stard4	Stard4
Stat2	Stat2
Stat6	Stat6
Stk26	Stk26
Stk3	Stk3
Stk33	Stk33
Stoml3	Stoml3
Strbp	Strbp
Stt3a	Stt3a
Stt3b	Stt3b
Stx16	Stx16
Sucnr1	Sucnr1
Sugp1	Sugp1
Sult1b1	Sult1b1
Sumf1	Sumf1
Suox	Suox
Supt20h	Supt20
Swsap1	Swsap1
Sybu	Sybu
Sycp2	Sycp2
Synpo2l	Synpo2l
Syp	Syp
Syt4	Syt4
Tab3	Tab3
Taf2	Taf2
Taf4b	Taf4b
Taf8	Taf8
Tas2r40	Tas2r144
Tatdn1	Tatdn1
Taz	Taz
Tbc1d30	Tbc1d30
Tbc1d31	Tbc1d31
Tbc1d5	Tbc1d5
Tbcel	Tbcel
Tbk1	Tbk1
Tbrg1	Tbrg1
Tbx20	Tbx20
Tc2n	Tc2n
Tceal1	Tceal1
Tcf3	Tcf3
Tcf4	Tcf4
Tcfl5	Tcfl5
Tcte1	Tcte1
Tecta	Tecta
Tenm1	Tenm1
Tex13c	Gm362
Tex28	Tex28
Tfam	Tfam
Tfap2b	Tfap2b
Tfap2d	Tfap2d
Tfpi2	Tfpi2
Theg	Theg
Thoc2	Thoc2
Thy1	Thy1
Thyn1	Thyn1
Timeless	Timeless
Tirap	Tirap
Tjap1	Tjap1
Tktl1	Tktl1
Tle1	Tle1
Tm4sf1	Tm4sf1
Tm4sf4	Tm4sf4
Tm6sf2	Tm6sf2
Tmbim4	Tmbim4
Tmed1	Tmed1
Tmed5	Tmed5
Tmem123	Tmem123
Tmem126a	Tmem126a
Tmem136	Tmem136
Tmem151b	Tmem151b
Tmem161b	Tmem161b
Tmem164	Tmem164
Tmem173	Tmem173
Tmem208	Tmem208
Tmem212	Tmem212
Tmem218	Tmem218
Tmem225	Tmem225
Tmem241	Tmem241
Tmem25	Tmem25
Tmem30a	Tmem30a
Tmem47	Tmem47
Tmem63b	Tmem63b
Tmem88b	Tmem88b
Tmlhe	Tmlhe
Tmprss5	Tmprss5
Tnfrsf11b	Tnfrsf11b
Tnfrsf1b	Tnfrsf1b
Tnfrsf4	Tnfrsf4
Tnfsf10	Tnfsf10
Tnik	Tnik
Tnks	Tnks
Tnmd	Tnmd
Tox	Tox
Tppp3	Tppp3
Tradd	Tradd
Tram2	Tram2
Trappc4	Trappc4
Trappc8	Trappc8
Trappc9	Trappc9
Treh	Treh
Trem1	Trem1
Treml1	Treml1
Trerf1	Trerf1
Trhr	Trhr
Trib1	Trib1
Trim29	Trim29
Trmt12	Trmt12
Trpc3	Trpc3
Trpc4	Trpc4
Trpc5	Trpc5
Trpc5os	Trpc5os
Trpc6	Trpc6
Trps1	Trps1
Tsc22d2	Tsc22d2
Tsfm	Tsfm
Tspan31	Tspan31
Tspyl5	Tspyl5
Ttbk1	Ttbk1
Ttc12	Ttc12
Ttc21a	Ttc21a
Ttc3	Ttc3
Ttc36	Ttc36
Ttc39c	Ttc39c
Ttc7b	Ttc7b
Tubb1	Tubb1
Tyk2	Tyk2
Tyr	Tyr
Ubash3b	Ubash3b
Ubd	Ubd
Ube2d2	Ube2d2a
Ube2i	Ube2i
Ubl4a	Ubl4a
Ubqln2	Ubqln2
Ubr2	Ubr2
Ubr5	Ubr5
Ubxn2b	Ubxn2b
Ufm1	Ufm1
Uggt1	Uggt1
Unc5cl	Unc5cl
Unc79	Unc79
Upf3b	Upf3b
Upk2	Upk2
Urad	Urad
Usp12	Usp12
Usp13	Usp13
Usp15	Usp15
Usp2	Usp2
Usp28	Usp28
Usp40	Usp40
Usp42	Usp42
Usp44	Usp44
Usp45	Usp45
Usp49	Usp49
Usp54	Usp54
Usp9x	Usp9x
Uspl1	Uspl1
Vamp7	Vamp7
Vapb	Vapb
Vash2	Vash2
Vasp	Vasp
Vcl	Vcl
Vma21	Vma21
Vps11	Vps11
Vps13b	Vps13b
Vps26b	Vps26b
Vps50	Vps50
Vps54	Vps54
Vsig2	Vsig2
Vwa1	Vwa1
Wdr25	Wdr25
Wdr33	Wdr33
Wdr59	Wdr59
Wdyhv1	Wdyhv1
Wnt16	Wnt16
Wtip	Wtip
Wwtr1	Wwtr1
Xiap	Xiap
Xpo1	Xpo1
Xpo5	Xpo5
Xpot	Xpot
Ydjc	Ydjc
Yipf2	Yipf2
Ythdc1	Ythdc1
Zar1l	Zar1l
Zbtb16	Zbtb16
Zbtb26	Zbtb26
Zbtb39	Zbtb39
Zbtb44	Zbtb44
Zbtb45	Zbtb45
Zbtb6	Zbtb6
Zc3h7a	Zc3h7a
Zc4h2	Zc4h2
Zcchc6	Zcchc6
Zdbf2	Zdbf2
Zdhhc13	Zdhhc13
Zdhhc15	Zdhhc15
Zfp57	Zfp57
Zfp92	Zfp92
Zfpm2	Zfpm2
Zglp1	Zglp1
Zhx2	Zhx2
Zmat3	Zmat3
Zmiz1	Zmiz1
Znf182	Zfp300
Znf185	Zfp185
Znf202	Zfp202
Znf24	Zfp24
Znf260	Zfp260
Znf275	Zfp275
Znf292	Zfp292
Znf317	Zfp317
Znf318	Zfp318
Znf385d	Znf385d
Znf397	Zfp397
Znf436	Zfp46
Znf446	Zfp446
Znf451	Zfp451
Znf512	Zfp512
Znf518b	Zfp518b
Znf521	Zfp521
Znf638	Zfp638
Znf639	Zfp639
Znf653	Zfp653
Znf706	Zfp706
Znf711	Zfp711
Znf831	Zfp831
Znfx1	Znfx1
Zpr1	Zpr1
Zscan30	Zscan30
Zw10	Zw10
