Gene stable ID,Gene stable ID version,Mouse gene stable ID,Mouse gene name,Chromosome/scaffold name,Gene name
ENSPEMG00000028879,ENSPEMG00000028879.1,ENSMUSG00000119035,U6,1,U6
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000094505,Ighv8-6,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000104452,Ighv8-8,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000095117,Ighv8-9,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000076733,Ighv8-13,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000076731,Ighv8-12,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000102301,Ighv8-2,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000095170,Ighv8-11,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000102364,Ighv8-5,14,
ENSPEMG00000025555,ENSPEMG00000025555.1,ENSMUSG00000096355,Ighv8-4,14,
ENSPEMG00000022422,ENSPEMG00000022422.2,ENSMUSG00000034269,Setd5,3,Setd5
ENSPEMG00000029473,ENSPEMG00000029473.1,ENSMUSG00000026452,Syt2,11,Syt2
ENSPEMG00000027128,ENSPEMG00000027128.1,ENSMUSG00000055200,Sertad3,1,Sertad3
ENSPEMG00000024629,ENSPEMG00000024629.1,ENSMUSG00000094509,Ighv14-1,14,
ENSPEMG00000024629,ENSPEMG00000024629.1,ENSMUSG00000095583,Ighv14-2,14,
ENSPEMG00000024629,ENSPEMG00000024629.1,ENSMUSG00000095642,Ighv14-3,14,
ENSPEMG00000024629,ENSPEMG00000024629.1,ENSMUSG00000076666,Ighv14-4,14,
ENSPEMG00000012615,ENSPEMG00000012615.2,ENSMUSG00000008384,Sertad1,1,Sertad1
ENSPEMG00000018060,ENSPEMG00000018060.2,ENSMUSG00000053198,Prx,1,Prx
ENSPEMG00000029863,ENSPEMG00000029863.1,ENSMUSG00000049699,Ucn2,7,Ucn2
ENSPEMG00000022808,ENSPEMG00000022808.2,ENSMUSG00000051225,Fam83a,20,Fam83a
ENSPEMG00000023167,ENSPEMG00000023167.2,ENSMUSG00000025648,Pfkfb4,7,Pfkfb4
ENSPEMG00000025910,ENSPEMG00000025910.1,ENSMUSG00000094509,Ighv14-1,14,
ENSPEMG00000025910,ENSPEMG00000025910.1,ENSMUSG00000095583,Ighv14-2,14,
ENSPEMG00000025910,ENSPEMG00000025910.1,ENSMUSG00000095642,Ighv14-3,14,
ENSPEMG00000025910,ENSPEMG00000025910.1,ENSMUSG00000076666,Ighv14-4,14,
ENSPEMG00000029926,ENSPEMG00000029926.1,ENSMUSG00000020810,Cygb,8,Cygb
ENSPEMG00000026554,ENSPEMG00000026554.1,,,14,
ENSPEMG00000027746,ENSPEMG00000027746.1,,,8,
ENSPEMG00000021590,ENSPEMG00000021590.2,ENSMUSG00000022364,Tbc1d31,20,Tbc1d31
ENSPEMG00000009204,ENSPEMG00000009204.2,ENSMUSG00000040424,Hipk4,1,Hipk4
ENSPEMG00000030024,ENSPEMG00000030024.1,ENSMUSG00000026788,Zbtb43,4,Zbtb43
ENSPEMG00000021666,ENSPEMG00000021666.2,,,1,
ENSPEMG00000018068,ENSPEMG00000018068.2,ENSMUSG00000045817,Zfp36l2,22,Zfp36l2
ENSPEMG00000009765,ENSPEMG00000009765.2,ENSMUSG00000057003,Myh4,8,Myh4
ENSPEMG00000006163,ENSPEMG00000006163.2,,,8,
ENSPEMG00000020151,ENSPEMG00000020151.2,ENSMUSG00000027965,Olfm3,6,Olfm3
ENSPEMG00000028342,ENSPEMG00000028342.1,ENSMUSG00000054863,Tafa5,20,Tafa5
ENSPEMG00000009453,ENSPEMG00000009453.2,ENSMUSG00000074476,Spc24,7,Spc24
ENSPEMG00000029809,ENSPEMG00000029809.1,ENSMUSG00000068966,Zbtb34,4,Zbtb34
ENSPEMG00000025138,ENSPEMG00000025138.1,ENSMUSG00000073557,Ppp1r12b,11,Ppp1r12b
ENSPEMG00000027638,ENSPEMG00000027638.1,ENSMUSG00000073006,Wmp,X,Wmp
ENSPEMG00000022250,ENSPEMG00000022250.2,ENSMUSG00000024924,Vldlr,1,Vldlr
ENSPEMG00000018067,ENSPEMG00000018067.2,ENSMUSG00000003363,Pld3,1,Pld3
ENSPEMG00000028747,ENSPEMG00000028747.1,,,14,
ENSPEMG00000015671,ENSPEMG00000015671.2,ENSMUSG00000028483,Snapc3,2,Snapc3
ENSPEMG00000020248,ENSPEMG00000020248.2,ENSMUSG00000047547,Cltb,5,Cltb
ENSPEMG00000031184,ENSPEMG00000031184.1,ENSMUSG00000073007,Tent5d,X,Tent5d
ENSPEMG00000022145,ENSPEMG00000022145.2,ENSMUSG00000001815,Evx2,4,Evx2
ENSPEMG00000001250,ENSPEMG00000001250.2,,,8,
ENSPEMG00000027086,ENSPEMG00000027086.1,,,14,
ENSPEMG00000001258,ENSPEMG00000001258.2,ENSMUSG00000065094,Snord1a,8,
ENSPEMG00000003543,ENSPEMG00000003543.2,ENSMUSG00000029153,Ociad2,10,Ociad2
ENSPEMG00000023867,ENSPEMG00000023867.2,ENSMUSG00000000673,Haao,22,Haao
ENSPEMG00000016035,ENSPEMG00000016035.2,ENSMUSG00000057286,St6galnac2,8,St6galnac2
ENSPEMG00000025587,ENSPEMG00000025587.1,,,14,
ENSPEMG00000007505,ENSPEMG00000007505.2,,,3,5S_rRNA
ENSPEMG00000023392,ENSPEMG00000023392.2,ENSMUSG00000025647,Shisa5,7,Shisa5
ENSPEMG00000019531,ENSPEMG00000019531.2,ENSMUSG00000074628,Tldc2,4,Tldc2
ENSPEMG00000028726,ENSPEMG00000028726.1,ENSMUSG00000103290,Ighv1-23,14,
ENSPEMG00000028726,ENSPEMG00000028726.1,ENSMUSG00000103254,Ighv1-15,14,
ENSPEMG00000022412,ENSPEMG00000022412.2,ENSMUSG00000001819,Hoxd13,4,Hoxd13
ENSPEMG00000029966,ENSPEMG00000029966.1,ENSMUSG00000022365,Derl1,20,Derl1
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000094505,Ighv8-6,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000104452,Ighv8-8,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000095117,Ighv8-9,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000076733,Ighv8-13,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000076731,Ighv8-12,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000102301,Ighv8-2,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000095170,Ighv8-11,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000102364,Ighv8-5,14,
ENSPEMG00000023968,ENSPEMG00000023968.2,ENSMUSG00000096355,Ighv8-4,14,
ENSPEMG00000019240,ENSPEMG00000019240.2,ENSMUSG00000001823,Hoxd12,4,Hoxd12
ENSPEMG00000020218,ENSPEMG00000020218.2,ENSMUSG00000025873,Faf2,5,Faf2
ENSPEMG00000000736,ENSPEMG00000000736.2,ENSMUSG00000032194,Kank2,7,Kank2
ENSPEMG00000015309,ENSPEMG00000015309.2,ENSMUSG00000028484,Psip1,2,Psip1
ENSPEMG00000027019,ENSPEMG00000027019.1,ENSMUSG00000095981,Ighv10-1,14,
ENSPEMG00000027019,ENSPEMG00000027019.1,ENSMUSG00000095700,Ighv10-3,14,
ENSPEMG00000027665,ENSPEMG00000027665.1,,,14,
ENSPEMG00000018816,ENSPEMG00000018816.2,ENSMUSG00000042499,Hoxd11,4,
ENSPEMG00000019454,ENSPEMG00000019454.2,ENSMUSG00000027639,Samhd1,4,Samhd1
ENSPEMG00000030445,ENSPEMG00000030445.1,ENSMUSG00000050368,Hoxd10,4,Hoxd10
ENSPEMG00000031145,ENSPEMG00000031145.1,ENSMUSG00000103290,Ighv1-23,14,
ENSPEMG00000031145,ENSPEMG00000031145.1,ENSMUSG00000103254,Ighv1-15,14,
ENSPEMG00000012006,ENSPEMG00000012006.2,ENSMUSG00000049734,Trex1,7,Trex1
ENSPEMG00000023804,ENSPEMG00000023804.2,ENSMUSG00000071757,Zhx2,20,Zhx2
ENSPEMG00000009516,ENSPEMG00000009516.2,ENSMUSG00000042873,Lhfpl4,3,Lhfpl4
ENSPEMG00000028704,ENSPEMG00000028704.1,,,20,
ENSPEMG00000028859,ENSPEMG00000028859.1,,,20,
ENSPEMG00000015592,ENSPEMG00000015592.2,ENSMUSG00000025646,Atrip,7,Atrip
ENSPEMG00000024806,ENSPEMG00000024806.1,,,14,
ENSPEMG00000006162,ENSPEMG00000006162.2,ENSMUSG00000043342,Hoxd9,4,Hoxd9
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000094505,Ighv8-6,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000104452,Ighv8-8,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000095117,Ighv8-9,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000076733,Ighv8-13,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000076731,Ighv8-12,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000102301,Ighv8-2,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000095170,Ighv8-11,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000102364,Ighv8-5,14,
ENSPEMG00000027922,ENSPEMG00000027922.1,ENSMUSG00000096355,Ighv8-4,14,
ENSPEMG00000020651,ENSPEMG00000020651.2,ENSMUSG00000054117,Zdhhc25,20,Zdhhc25
ENSPEMG00000007108,ENSPEMG00000007108.2,ENSMUSG00000030269,Mtmr14,3,Mtmr14
ENSPEMG00000028623,ENSPEMG00000028623.1,ENSMUSG00000027102,Hoxd8,4,
ENSPEMG00000022335,ENSPEMG00000022335.2,ENSMUSG00000031242,2610002M06Rik,X,2610002M06Rik
ENSPEMG00000010133,ENSPEMG00000010133.2,ENSMUSG00000032198,Dock6,7,Dock6
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000094505,Ighv8-6,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000104452,Ighv8-8,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000095117,Ighv8-9,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000076733,Ighv8-13,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000076731,Ighv8-12,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000102301,Ighv8-2,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000095170,Ighv8-11,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000102364,Ighv8-5,14,
ENSPEMG00000027209,ENSPEMG00000027209.1,ENSMUSG00000096355,Ighv8-4,14,
ENSPEMG00000019652,ENSPEMG00000019652.2,ENSMUSG00000027641,Rbl1,4,Rbl1
ENSPEMG00000029322,ENSPEMG00000029322.1,,,4,
ENSPEMG00000003700,ENSPEMG00000003700.2,ENSMUSG00000037624,Kcnk2,11,Kcnk2
ENSPEMG00000022675,ENSPEMG00000022675.2,ENSMUSG00000038831,Ralgps1,4,Ralgps1
ENSPEMG00000005113,ENSPEMG00000005113.2,ENSMUSG00000065500,Mir10b,4,
ENSPEMG00000012453,ENSPEMG00000012453.2,ENSMUSG00000055817,Mta3,22,Mta3
ENSPEMG00000020162,ENSPEMG00000020162.2,ENSMUSG00000034928,Rnf44,5,Rnf44
ENSPEMG00000023383,ENSPEMG00000023383.2,ENSMUSG00000031241,Tbx22,X,Tbx22
ENSPEMG00000024627,ENSPEMG00000024627.1,ENSMUSG00000101174,Hoxd4,4,
ENSPEMG00000024627,ENSPEMG00000024627.1,ENSMUSG00000100642,Gm28230,4,
ENSPEMG00000020414,ENSPEMG00000020414.2,ENSMUSG00000029819,Npy,3,Npy
ENSPEMG00000025110,ENSPEMG00000025110.1,,,3,
ENSPEMG00000024640,ENSPEMG00000024640.1,,,19,
ENSPEMG00000028862,ENSPEMG00000028862.1,ENSMUSG00000079277,Hoxd3,4,Hoxd3
ENSPEMG00000000816,ENSPEMG00000000816.2,ENSMUSG00000030270,Cpne9,3,Cpne9
ENSPEMG00000005716,ENSPEMG00000005716.2,ENSMUSG00000065196,Snord85,2,
ENSPEMG00000024362,ENSPEMG00000024362.1,ENSMUSG00000119144,,2,
ENSPEMG00000024362,ENSPEMG00000024362.1,ENSMUSG00000119649,,2,
ENSPEMG00000016199,ENSPEMG00000016199.2,ENSMUSG00000009588,St6galnac1,8,St6galnac1
ENSPEMG00000021389,ENSPEMG00000021389.2,ENSMUSG00000042448,Hoxd1,4,Hoxd1
ENSPEMG00000022569,ENSPEMG00000022569.2,ENSMUSG00000091537,Tma7,7,Tma7
ENSPEMG00000015709,ENSPEMG00000015709.2,ENSMUSG00000025743,Sdc3,2,Sdc3
ENSPEMG00000019568,ENSPEMG00000019568.2,ENSMUSG00000074627,Mroh8,4,Mroh8
ENSPEMG00000003675,ENSPEMG00000003675.2,,,3,U6
ENSPEMG00000023116,ENSPEMG00000023116.2,ENSMUSG00000035860,Cdhr3,14,Cdhr3
ENSPEMG00000024076,ENSPEMG00000024076.2,ENSMUSG00000042063,Zfp386,14,Zfp386
ENSPEMG00000028825,ENSPEMG00000028825.1,ENSMUSG00000045092,S1pr1,6,S1pr1
ENSPEMG00000022320,ENSPEMG00000022320.2,ENSMUSG00000022387,Brd1,20,Brd1
ENSPEMG00000004863,ENSPEMG00000004863.2,ENSMUSG00000022366,Slc22a22,20,Slc22a22
ENSPEMG00000021908,ENSPEMG00000021908.2,ENSMUSG00000025645,Ccdc51,7,Ccdc51
ENSPEMG00000023142,ENSPEMG00000023142.2,ENSMUSG00000011171,Vipr2,14,Vipr2
ENSPEMG00000014102,ENSPEMG00000014102.2,ENSMUSG00000049295,Zfp219,9,Zfp219
ENSPEMG00000015200,ENSPEMG00000015200.2,ENSMUSG00000001632,Brpf1,3,Brpf1
ENSPEMG00000017047,ENSPEMG00000017047.2,ENSMUSG00000041842,Fhdc1,6,Fhdc1
ENSPEMG00000004208,ENSPEMG00000004208.2,ENSMUSG00000029154,Cwh43,10,Cwh43
ENSPEMG00000016372,ENSPEMG00000016372.2,ENSMUSG00000049643,2310022A10Rik,1,2310022A10Rik
ENSPEMG00000004572,ENSPEMG00000004572.2,ENSMUSG00000024302,Dtna,19,Dtna
ENSPEMG00000014438,ENSPEMG00000014438.2,ENSMUSG00000053646,Plxnb1,7,Plxnb1
ENSPEMG00000025433,ENSPEMG00000025433.1,ENSMUSG00000033554,Dph5,6,Dph5
ENSPEMG00000010195,ENSPEMG00000010195.2,ENSMUSG00000015112,Slc25a13,3,Slc25a13
ENSPEMG00000019515,ENSPEMG00000019515.2,ENSMUSG00000038388,Mpp6,3,Mpp6
ENSPEMG00000028940,ENSPEMG00000028940.1,,,8,5S_rRNA
ENSPEMG00000015097,ENSPEMG00000015097.2,ENSMUSG00000020814,Mxra7,8,Mxra7
ENSPEMG00000022093,ENSPEMG00000022093.2,ENSMUSG00000027099,Mtx2,4,Mtx2
ENSPEMG00000023457,ENSPEMG00000023457.2,ENSMUSG00000042050,Dync2i1,14,Dync2i1
ENSPEMG00000024766,ENSPEMG00000024766.1,ENSMUSG00000089476,Gm25364,20,U6
ENSPEMG00000022609,ENSPEMG00000022609.2,ENSMUSG00000020570,Sypl,14,Sypl
ENSPEMG00000018883,ENSPEMG00000018883.2,ENSMUSG00000012889,Podnl1,5,Podnl1
ENSPEMG00000019406,ENSPEMG00000019406.2,ENSMUSG00000027642,Rpn2,4,Rpn2
ENSPEMG00000001289,ENSPEMG00000001289.2,ENSMUSG00000056962,Jmjd6,8,Jmjd6
ENSPEMG00000024147,ENSPEMG00000024147.2,ENSMUSG00000034333,Zbed4,20,Zbed4
ENSPEMG00000024905,ENSPEMG00000024905.1,ENSMUSG00000045053,Kcng3,22,Kcng3
ENSPEMG00000023141,ENSPEMG00000023141.2,ENSMUSG00000035845,Alg12,20,Alg12
ENSPEMG00000023613,ENSPEMG00000023613.2,ENSMUSG00000072571,Tmem253,9,Tmem253
ENSPEMG00000004019,ENSPEMG00000004019.2,,,8,
ENSPEMG00000015725,ENSPEMG00000015725.2,ENSMUSG00000090266,Mettl23,8,Mettl23
ENSPEMG00000012152,ENSPEMG00000012152.2,ENSMUSG00000024248,Cox7a2l,22,Cox7a2l
ENSPEMG00000017855,ENSPEMG00000017855.2,ENSMUSG00000026429,Ube2t,11,Ube2t
ENSPEMG00000012514,ENSPEMG00000012514.2,ENSMUSG00000037103,Dcaf15,5,Dcaf15
ENSPEMG00000016526,ENSPEMG00000016526.2,ENSMUSG00000004056,Akt2,1,Akt2
ENSPEMG00000024046,ENSPEMG00000024046.2,ENSMUSG00000023272,Creld2,20,Creld2
ENSPEMG00000010971,ENSPEMG00000010971.2,ENSMUSG00000042793,Lgr6,11,Lgr6
ENSPEMG00000014004,ENSPEMG00000014004.2,ENSMUSG00000020818,Mfsd11,8,Mfsd11
ENSPEMG00000021092,ENSPEMG00000021092.2,,,20,
ENSPEMG00000020138,ENSPEMG00000020138.2,ENSMUSG00000047298,Kcnv2,1,Kcnv2
ENSPEMG00000009638,ENSPEMG00000009638.2,ENSMUSG00000051674,Dcun1d4,10,Dcun1d4
ENSPEMG00000014245,ENSPEMG00000014245.2,ENSMUSG00000031706,Rfx1,5,Rfx1
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000074059,Fbxw18,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000074060,Fbxw15,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000094992,Fbxw25,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000054087,Fbxw28,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000074061,Fbxw19,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000049314,Fbxw13,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000074062,Fbxw16,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000061701,Fbxw20,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000105589,Fbxw14,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000104614,Fbxw27,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000059547,Fbxw26,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000062275,Fbxw24,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000047237,Fbxw21,7,
ENSPEMG00000019218,ENSPEMG00000019218.2,ENSMUSG00000070324,Fbxw22,7,
ENSPEMG00000020109,ENSPEMG00000020109.2,ENSMUSG00000034918,Cdhr2,5,Cdhr2
ENSPEMG00000026100,ENSPEMG00000026100.1,ENSMUSG00000044286,Olfr221,9,Olfr221
ENSPEMG00000023829,ENSPEMG00000023829.2,ENSMUSG00000035828,Pim3,20,Pim3
ENSPEMG00000009253,ENSPEMG00000009253.2,ENSMUSG00000011306,Sugp1,17,Sugp1
ENSPEMG00000010707,ENSPEMG00000010707.2,ENSMUSG00000102805,Gm37240,6,
ENSPEMG00000010707,ENSPEMG00000010707.2,ENSMUSG00000074513,Arfip1,6,
ENSPEMG00000002474,ENSPEMG00000002474.2,,,9,7SK
ENSPEMG00000017899,ENSPEMG00000017899.2,ENSMUSG00000060373,Hnrnpc,9,Hnrnpc
ENSPEMG00000011714,ENSPEMG00000011714.2,ENSMUSG00000031016,Wee1,1,Wee1
ENSPEMG00000016483,ENSPEMG00000016483.2,ENSMUSG00000028581,Laptm5,2,Laptm5
ENSPEMG00000016397,ENSPEMG00000016397.2,ENSMUSG00000036151,Tm6sf2,17,Tm6sf2
ENSPEMG00000010006,ENSPEMG00000010006.2,ENSMUSG00000097993,Ptprv,11,
ENSPEMG00000021513,ENSPEMG00000021513.2,ENSMUSG00000020572,Nampt,14,Nampt
ENSPEMG00000017513,ENSPEMG00000017513.2,ENSMUSG00000040533,Matn1,2,Matn1
ENSPEMG00000005373,ENSPEMG00000005373.2,ENSMUSG00000043857,Mgat5b,8,Mgat5b
ENSPEMG00000030532,ENSPEMG00000030532.1,,,11,
ENSPEMG00000029404,ENSPEMG00000029404.1,ENSMUSG00000054414,Slc30a7,6,Slc30a7
ENSPEMG00000014979,ENSPEMG00000014979.2,ENSMUSG00000032624,Eml4,22,Eml4
ENSPEMG00000023634,ENSPEMG00000023634.2,ENSMUSG00000021171,Esyt2,14,Esyt2
ENSPEMG00000007623,ENSPEMG00000007623.2,,,11,U1
ENSPEMG00000023946,ENSPEMG00000023946.2,ENSMUSG00000031239,Itm2a,X,Itm2a
ENSPEMG00000029342,ENSPEMG00000029342.1,ENSMUSG00000104921,Snord3b-ps1,2,
ENSPEMG00000029342,ENSPEMG00000029342.1,ENSMUSG00002076218,,2,
ENSPEMG00000029342,ENSPEMG00000029342.1,ENSMUSG00000105037,Gm25203,2,
ENSPEMG00000011542,ENSPEMG00000011542.2,ENSMUSG00000004565,Pnpla6,23,Pnpla6
ENSPEMG00000018885,ENSPEMG00000018885.2,ENSMUSG00000030612,Mrpl46,1,Mrpl46
ENSPEMG00000012821,ENSPEMG00000012821.2,ENSMUSG00000022388,Ttll8,20,Ttll8
ENSPEMG00000007736,ENSPEMG00000007736.2,,,1,
ENSPEMG00000028947,ENSPEMG00000028947.1,ENSMUSG00000077403,Gm25419,2,U3
ENSPEMG00000009589,ENSPEMG00000009589.2,ENSMUSG00000052407,Ccdc171,2,Ccdc171
ENSPEMG00000029211,ENSPEMG00000029211.1,ENSMUSG00000007594,Hapln4,17,Hapln4
ENSPEMG00000020019,ENSPEMG00000020019.2,ENSMUSG00000069227,Gprin1,5,Gprin1
ENSPEMG00000005742,ENSPEMG00000005742.2,ENSMUSG00000073008,Gpr174,X,Gpr174
ENSPEMG00000011176,ENSPEMG00000011176.2,ENSMUSG00000027963,Extl2,6,Extl2
ENSPEMG00000023525,ENSPEMG00000023525.2,ENSMUSG00000020573,Pik3cg,14,Pik3cg
ENSPEMG00000012996,ENSPEMG00000012996.2,ENSMUSG00000030611,Mrps11,1,Mrps11
ENSPEMG00000007534,ENSPEMG00000007534.2,ENSMUSG00000034891,Sncb,5,Sncb
ENSPEMG00000015174,ENSPEMG00000015174.2,ENSMUSG00000047822,Angptl8,7,Angptl8
ENSPEMG00000012564,ENSPEMG00000012564.2,ENSMUSG00000002341,Ncan,17,Ncan
ENSPEMG00000026199,ENSPEMG00000026199.1,ENSMUSG00000022367,Has2,20,Has2
ENSPEMG00000006548,ENSPEMG00000006548.2,,,8,
ENSPEMG00000023151,ENSPEMG00000023151.2,ENSMUSG00000042541,Sem1,3,Sem1
ENSPEMG00000029990,ENSPEMG00000029990.1,,,21,
ENSPEMG00000002209,ENSPEMG00000002209.2,ENSMUSG00000035805,Mlc1,20,Mlc1
ENSPEMG00000011892,ENSPEMG00000011892.2,ENSMUSG00000027962,Vcam1,6,Vcam1
ENSPEMG00000006708,ENSPEMG00000006708.2,,,20,U6
ENSPEMG00000014770,ENSPEMG00000014770.2,ENSMUSG00000037253,Mex3c,7,
ENSPEMG00000006338,ENSPEMG00000006338.2,ENSMUSG00000074895,Eif4e1b,5,Eif4e1b
ENSPEMG00000013046,ENSPEMG00000013046.2,ENSMUSG00000027643,Ghrh,4,Ghrh
ENSPEMG00000029588,ENSPEMG00000029588.1,,,20,U7
ENSPEMG00000008292,ENSPEMG00000008292.2,ENSMUSG00000026605,Cenpf,11,Cenpf
ENSPEMG00000030423,ENSPEMG00000030423.1,,,1,
ENSPEMG00000005926,ENSPEMG00000005926.2,ENSMUSG00000045232,Rln3,5,Rln3
ENSPEMG00000004229,ENSPEMG00000004229.2,,,X,
ENSPEMG00000011090,ENSPEMG00000011090.2,ENSMUSG00000020823,Sec14l1,8,Sec14l1
ENSPEMG00000019340,ENSPEMG00000019340.2,ENSMUSG00000041360,Pum3,1,Pum3
ENSPEMG00000004432,ENSPEMG00000004432.2,,,3,
ENSPEMG00000011917,ENSPEMG00000011917.2,ENSMUSG00000005465,Il27ra,5,Il27ra
ENSPEMG00000027004,ENSPEMG00000027004.1,,,X,Y_RNA
ENSPEMG00000005734,ENSPEMG00000005734.2,,,3,
ENSPEMG00000024642,ENSPEMG00000024642.1,ENSMUSG00000054293,P2ry10b,X,P2ry10b
ENSPEMG00000028850,ENSPEMG00000028850.1,,,4,5S_rRNA
ENSPEMG00000017432,ENSPEMG00000017432.2,ENSMUSG00000067206,Lrrc66,10,Lrrc66
ENSPEMG00000031189,ENSPEMG00000031189.1,ENSMUSG00000019066,Rab3d,7,Rab3d
ENSPEMG00000030801,ENSPEMG00000030801.1,ENSMUSG00000063019,Manbal,4,Manbal
ENSPEMG00000010874,ENSPEMG00000010874.2,ENSMUSG00000028909,Ptpru,2,Ptpru
ENSPEMG00000023462,ENSPEMG00000023462.2,ENSMUSG00000050921,P2ry10,X,P2ry10
ENSPEMG00000008443,ENSPEMG00000008443.2,ENSMUSG00000060429,Sntb1,20,Sntb1
ENSPEMG00000013401,ENSPEMG00000013401.2,ENSMUSG00000031015,Swap70,1,Swap70
ENSPEMG00000020445,ENSPEMG00000020445.2,ENSMUSG00000030609,Aen,1,Aen
ENSPEMG00000020092,ENSPEMG00000020092.2,ENSMUSG00000027646,Src,4,Src
ENSPEMG00000003902,ENSPEMG00000003902.2,ENSMUSG00000029754,Dlx6,3,Dlx6
ENSPEMG00000030102,ENSPEMG00000030102.1,ENSMUSG00000049929,Lpar4,X,Lpar4
ENSPEMG00000021885,ENSPEMG00000021885.2,ENSMUSG00000059005,Hnrnpa3,4,Hnrnpa3
ENSPEMG00000024200,ENSPEMG00000024200.2,ENSMUSG00000029156,Sgcb,10,Sgcb
ENSPEMG00000022912,ENSPEMG00000022912.2,ENSMUSG00000042029,Ncapg2,14,Ncapg2
ENSPEMG00000006802,ENSPEMG00000006802.2,ENSMUSG00000065665,Gm22577,X,U6
ENSPEMG00000006802,ENSPEMG00000006802.2,ENSMUSG00000087835,Gm24481,X,U6
ENSPEMG00000020302,ENSPEMG00000020302.2,ENSMUSG00000039236,Isg20,1,
ENSPEMG00000001962,ENSPEMG00000001962.2,ENSMUSG00000071078,Nr2c2ap,17,Nr2c2ap
ENSPEMG00000000570,ENSPEMG00000000570.2,ENSMUSG00000047986,Palm3,5,Palm3
ENSPEMG00000005865,ENSPEMG00000005865.2,,,3,
ENSPEMG00000023777,ENSPEMG00000023777.2,,,X,
ENSPEMG00000022147,ENSPEMG00000022147.2,ENSMUSG00000015365,Mov10l1,20,Mov10l1
ENSPEMG00000024192,ENSPEMG00000024192.2,ENSMUSG00000029155,Spata18,10,Spata18
ENSPEMG00000017001,ENSPEMG00000017001.2,ENSMUSG00000024277,Mapre2,19,Mapre2
ENSPEMG00000012598,ENSPEMG00000012598.2,ENSMUSG00000026604,Ptpn14,11,Ptpn14
ENSPEMG00000000747,ENSPEMG00000000747.2,ENSMUSG00000047819,Tigd4,6,Tigd4
ENSPEMG00000020320,ENSPEMG00000020320.2,ENSMUSG00000040883,Tmem205,7,Tmem205
ENSPEMG00000017574,ENSPEMG00000017574.2,ENSMUSG00000074217,Misp3,5,Misp3
ENSPEMG00000022029,ENSPEMG00000022029.2,,,21,
ENSPEMG00000024225,ENSPEMG00000024225.2,,,X,
